,NORMAL(mm),ACTUAL(mm),date
650,19.93,11.17,2018-03-01
651,42.91,10.82,2018-04-01
652,64.66,60.12,2018-05-01
653,42.1,34.82,2018-06-01
654,71.67,37.58,2018-07-01
655,90.91,59.54,2018-08-01
656,111.67,65.05,2018-09-01
657,182.17,146.92,2018-10-01
658,170.62,134.3,2018-11-01
659,88.52,16.64,2018-12-01
660,21.97,2.04,2019-01-01
661,14.81,2.44,2019-02-01
662,19.93,2.82,2019-03-01
663,42.91,16.27,2019-04-01
664,64.66,24.71,2019-05-01
665,42.1,29.54,2019-06-01
666,71.67,61.68,2019-07-01
667,90.91,124.89,2019-08-01
668,111.67,177.93,2019-09-01
669,182.17,234.28,2019-10-01
670,170.62,139.08,2019-11-01
671,88.52,120.56,2019-12-01
672,21.97,10.42,2020-01-01
673,14.81,1.19,2020-02-01
674,19.93,2.82,2020-03-01
675,42.91,30.59,2020-04-01
676,64.66,34.97,2020-05-01
677,42.1,55.76,2020-06-01
678,71.67,72.55,2020-07-01
679,90.91,85.05,2020-08-01
680,111.67,136.59,2020-09-01
681,182.17,106.54,2020-10-01
682,170.62,224.47,2020-11-01
683,88.52,196.05,2020-12-01
684,21.97,152.98,2021-01-01
685,14.81,13.75,2021-02-01
686,19.93,6.29,2021-03-01
687,42.91,34.81,2021-04-01
688,64.66,68.86,2021-05-01
689,42.1,49.02,2021-06-01
690,71.67,112.57,2021-07-01
691,90.91,92.79,2021-08-01
692,111.67,120.84,2021-09-01
693,182.17,233.6,2021-10-01
694,170.62,463.21,2021-11-01
695,88.52,60.14,2021-12-01
696,21.97,37.76,2022-01-01
697,14.81,9.4,2022-02-01
698,19.93,11.36,2022-03-01
699,42.91,63.24,2022-04-01
700,64.66,83.78,2022-05-01
701,42.1,73.97,2022-06-01
702,71.67,123.81,2022-07-01
703,90.91,163.86,2022-08-01
704,111.67,86.31,2022-09-01
705,182.17,167.53,2022-10-01
706,170.62,193.68,2022-11-01
707,88.52,108.4,2022-12-01
708,21.97,5.03,2023-01-01
709,0.0,17.81,2023-02-01
710,0.0,31.68,2023-03-01
711,0.0,38.59,2023-04-01
712,0.0,118.77,2023-05-01
713,42.1,50.58,2023-06-01
714,71.67,64.77,2023-07-01
715,90.91,87.97,2023-08-01
716,111.67,147.47,2023-09-01
717,182.17,92.74,2023-10-01
718,170.62,249.41,2023-11-01
719,88.52,129.16,2023-12-01
720,0.0,54.07,2024-01-01
